confidence for class-0,confidence for class-1,actual class
0.0,1.0,1
0.956,0.044,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.959,0.041,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.961,0.039,0
1.0,0.0,0
1.0,0.0,0
0.016,0.984,1
1.0,0.0,0
0.984,0.016,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.967,0.033,0
1.0,0.0,0
1.0,0.0,0
0.974,0.026,0
1.0,0.0,0
0.98,0.02,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.976,0.024,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.959,0.041,0
0.974,0.026,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.169,0.831,1
1.0,0.0,0
0.966,0.034,0
0.973,0.027,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.078,0.922,1
1.0,0.0,0
0.972,0.028,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.97,0.03,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.974,0.026,0
0.965,0.035,0
1.0,0.0,0
1.0,0.0,0
0.931,0.069,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
0.998,0.002,0
1.0,0.0,0
0.96,0.04,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.003,0.997,1
0.975,0.025,0
0.015,0.985,1
0.969,0.031,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.923,0.077,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.963,0.037,0
0.157,0.843,1
0.0,1.0,1
1.0,0.0,0
0.977,0.023,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.967,0.033,0
0.967,0.033,0
0.97,0.03,0
0.958,0.042,0
0.98,0.02,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.956,0.044,0
0.999,0.001,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
0.97,0.03,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
0.976,0.024,0
0.999,0.001,0
0.969,0.031,0
0.999,0.001,0
0.961,0.039,0
0.949,0.051,0
0.97,0.03,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.976,0.024,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.966,0.034,0
0.947,0.053,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.005,0.995,1
1.0,0.0,0
1.0,0.0,0
0.972,0.028,0
1.0,0.0,0
1.0,0.0,0
0.974,0.026,0
0.965,0.035,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.964,0.036,0
0.976,0.024,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.929,0.071,1
1.0,0.0,0
0.999,0.001,0
0.973,0.027,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.965,0.035,0
0.975,0.025,0
0.973,0.027,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.967,0.033,0
1.0,0.0,0
0.999,0.001,0
0.969,0.031,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.016,0.984,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.266,0.734,1
0.961,0.039,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.951,0.049,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.959,0.041,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.966,0.034,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.006,0.994,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
0.007,0.993,1
0.974,0.026,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.982,0.018,0
1.0,0.0,0
1.0,0.0,0
0.957,0.043,0
0.0,1.0,1
1.0,0.0,0
0.979,0.021,0
0.258,0.742,1
1.0,0.0,0
0.843,0.157,0
0.967,0.033,0
1.0,0.0,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
0.965,0.035,0
1.0,0.0,0
1.0,0.0,0
0.309,0.691,1
1.0,0.0,0
0.95,0.05,0
0.0,1.0,1
1.0,0.0,0
0.936,0.064,0
1.0,0.0,0
1.0,0.0,0
0.968,0.032,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.932,0.068,0
1.0,0.0,0
0.957,0.043,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.943,0.057,0
