confidence for class-0,confidence for class-1,actual class
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.987,0.013,0
1.0,0.0,0
0.003,0.997,1
0.0,1.0,1
0.062,0.938,1
1.0,0.0,0
0.979,0.021,0
1.0,0.0,0
0.033,0.967,1
0.986,0.014,0
1.0,0.0,0
0.999,0.001,0
0.999,0.001,0
1.0,0.0,0
0.993,0.007,0
1.0,0.0,0
0.937,0.063,0
0.412,0.588,1
1.0,0.0,0
1.0,0.0,0
0.8,0.2,0
0.003,0.997,1
0.975,0.025,0
0.985,0.015,0
1.0,0.0,0
0.985,0.015,0
1.0,0.0,0
0.995,0.005,0
0.998,0.002,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.427,0.573,1
1.0,0.0,0
0.997,0.003,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.992,0.008,0
0.998,0.002,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.005,0.995,1
0.998,0.002,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.0,1.0,1
0.998,0.002,0
1.0,0.0,0
0.993,0.007,0
0.989,0.011,0
0.009,0.991,1
1.0,0.0,0
0.997,0.003,0
1.0,0.0,0
0.987,0.013,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.996,0.004,0
1.0,0.0,0
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
0.213,0.787,1
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.995,0.005,0
0.992,0.008,0
0.99,0.01,0
0.986,0.014,0
0.975,0.025,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.052,0.948,1
0.023,0.977,1
1.0,0.0,0
0.998,0.002,0
1.0,0.0,0
1.0,0.0,0
0.997,0.003,0
0.98,0.02,0
0.998,0.002,0
0.999,0.001,0
1.0,0.0,0
