confidence for class-0,confidence for class-1,actual class
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.002,0.998,1
0.0,1.0,1
0.064,0.936,1
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.019,0.981,1
0.985,0.015,0
1.0,0.0,0
0.99,0.01,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.962,0.038,0
0.268,0.732,1
1.0,0.0,0
1.0,0.0,0
0.981,0.019,0
0.001,0.999,1
0.963,0.037,0
0.995,0.005,0
1.0,0.0,0
0.989,0.011,0
0.999,0.001,0
1.0,0.0,0
0.949,0.051,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.053,0.947,1
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.98,0.02,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.004,0.996,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.0,1.0,1
1.0,0.0,0
1.0,0.0,0
0.992,0.008,0
0.981,0.019,0
0.006,0.994,1
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
0.986,0.014,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.158,0.842,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.999,0.001,0
0.98,0.02,0
0.982,0.018,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.007,0.993,1
0.042,0.958,1
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
0.904,0.096,0
0.999,0.001,0
1.0,0.0,0
0.999,0.001,0
1.0,0.0,0
